"Kingdom","Phylum","Class","Order","Family","Sequence_ID"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","ERR10822963__1781"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","SRR10403525__1496"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","ERR10825382__24838"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","SRR19064445__7265"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","SRR10983063__16673"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","SRR19064626__14885"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","SRR19064683__9937"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","DRR480289__17191"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","SRR19064841__4481"
"k__Heunggongvirae","p__Uroviricota","c__Caudovirales","o__Crassvirales","f__Intestiviridae","SRR19064395__14357"
