"Kingdom","Phylum","Class","Order","Family","Genus","Species"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Acholeplasmatales","f__Acholeplasmataceae","g__Haploplasma","s__Haploplasma_axanthum"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Acholeplasmatales","f__Acholeplasmataceae","g__Alteracholeplasma","s__Alteracholeplasma_palmae"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Mycoplasmatales","Unassigned","Unassigned","s__endosymbiont_DhMRE_of_Dentiscutata_heterogama"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Mycoplasmatales","f__Candidatus_Hepatoplasmataceae","g__Candidatus_Hepatoplasma","s__Candidatus_Hepatoplasma_crinochetorum"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma_parvum"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma_haemocanis"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma_suis"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma_sp._2045"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma_aquilae"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma_sp._VS42A"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma_tullyi"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma_leachii"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma_cottewii"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma_sp._654"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma_nasistruthionis"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma_corogypsi"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma_yeatsii"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma_crocodyli"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma_tauri"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma_wenyonii"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma_capricolum"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma_ovis"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma_sp._005V"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma_sp._1018B"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma_struthionis"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma_sp._Pen4"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma_sp._NEAQ87857"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma_sp._E35C"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma_sp._Ms02"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma_sp._SG1"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma_sp._888"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma_miroungigenitalium"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma_putrefaciens"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma_sp._(ex_Biomphalaria_glabrata)"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma_feriruminatoris"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma_bradburyae"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma_phocoeninasale"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma_sp._Mirounga_ES2805-ORL"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma_sp._Z331B"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma_anserisalpingitidis"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma_seminis"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma_amphoriforme"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma_sp._OR1901"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma_miroungirhinis"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma_sp._1654_15"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma_iguanae"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma_mycoides"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Candidatus_Mycoplasma_mahonii"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma","s__Mycoplasma_phocoenae"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Entomoplasmatales","Unassigned","g__Williamsoniiplasma","s__Williamsoniiplasma_somnilux"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Entomoplasmatales","Unassigned","g__Williamsoniiplasma","s__Williamsoniiplasma_luminosum"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Entomoplasmatales","f__Entomoplasmataceae","g__Entomoplasma","s__Entomoplasma_freundtii"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Entomoplasmatales","f__Entomoplasmataceae","g__Mesoplasma","s__Mesoplasma_coleopterae"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Entomoplasmatales","f__Entomoplasmataceae","g__Mesoplasma","s__Mesoplasma_entomophilum"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Entomoplasmatales","f__Entomoplasmataceae","g__Mesoplasma","s__Mesoplasma_tabanidae"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Entomoplasmatales","f__Entomoplasmataceae","g__Mesoplasma","s__Mesoplasma_florum"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Entomoplasmatales","f__Entomoplasmataceae","g__Mesoplasma","s__Mesoplasma_syrphidae"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Entomoplasmatales","f__Entomoplasmataceae","g__Mesoplasma","s__Mesoplasma_chauliocola"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Entomoplasmatales","f__Entomoplasmataceae","g__Mesoplasma","s__Mesoplasma_lactucae"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Entomoplasmatales","f__Entomoplasmataceae","g__Mesoplasma","s__Mesoplasma_melaleucae"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Entomoplasmatales","f__Spiroplasmataceae","g__Spiroplasma","s__Spiroplasma_endosymbiont_of_Ammophila_pubescens"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Entomoplasmatales","f__Spiroplasmataceae","g__Spiroplasma","s__Spiroplasma_endosymbiont_of_'Nebria_riversi'"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Entomoplasmatales","f__Spiroplasmataceae","g__Spiroplasma","s__Spiroplasma_endosymbiont_of_Poecilobothrus_nobilitatus"
"k__Bacillati","p__Mycoplasmatota","c__Mollicutes","o__Entomoplasmatales","f__Spiroplasmataceae","g__Spiroplasma","s__Spiroplasma_endosymbiont_of_Notiophilus_biguttatus"
